Timestamp,Date,Time,Pee,Food,Quantity (ml),Notes,Poop
01/04/2021 19:59,2021-04-01,19:50:00,,Breast (Pumped),60,,
01/04/2021 21:01,2021-04-01,21:00:00,Pee,,,,Poop
01/04/2021 21:32,2021-04-01,21:31:00,,Formula (Neopro),40,Gentlease,
01/04/2021 23:32,2021-04-01,23:15:00,Pee,Formula (Neopro),50,Gentlease ,Poop
02/04/2021 02:41,2021-04-02,02:20:00,Pee,Formula (Neopro),60,Gentlease ,Poop
02/04/2021 06:09,2021-04-02,05:50:00,Pee,Formula (Neopro),50,Gentlease,Poop
02/04/2021 07:47,2021-04-02,07:30:00,,Formula (Neopro),60,Gentlease,
02/04/2021 10:31,2021-04-02,10:20:00,,Breast (Pumped),30,,
02/04/2021 13:31,2021-04-02,12:30:00,,Breast (Pumped),40,,
02/04/2021 13:40,2021-04-02,13:40:00,Pee,,,,
02/04/2021 14:31,2021-04-02,13:45:00,,Breast (Pumped),15,,
02/04/2021 15:31,2021-04-02,15:15:00,,Breast (Pumped),40,,
02/04/2021 18:22,2021-04-02,18:00:00,Pee,Breast (Pumped),40,,
02/04/2021 21:18,2021-04-02,20:30:00,,Formula (Neopro),55,,
02/04/2021 23:34,2021-04-02,23:34:00,Pee,,,,
03/04/2021 00:00,2021-04-02,23:50:00,,Formula (Neopro),60,Gentlease,
03/04/2021 01:34,2021-04-03,01:10:00,Pee,,,,Poop
03/04/2021 02:42,2021-04-03,02:00:00,,,,,Poop
03/04/2021 06:40,2021-04-03,06:00:00,Pee,Formula (Neopro),60,Gentlease ,Poop
03/04/2021 10:29,2021-04-03,09:00:00,Pee,Breast (Pumped),50,,Poop
03/04/2021 12:38,2021-04-03,12:30:00,,Breast (Pumped),60,,
03/04/2021 12:56,2021-04-03,12:55:00,Pee,,,,Poop
03/04/2021 15:59,2021-04-03,15:30:00,,Breast (Pumped),60,,
03/04/2021 16:00,2021-04-03,16:00:00,Pee,,,,Poop
03/04/2021 19:17,2021-04-03,18:45:00,,Formula (Neopro),60,Gentlease ,
03/04/2021 22:01,2021-04-03,21:45:00,Pee,Breast (Pumped),60,Big poop after kangaroo care,Poop
04/04/2021 00:24,2021-04-04,00:15:00,,Formula (Neopro),60,Gentlease ,
04/04/2021 01:06,2021-04-04,00:45:00,Pee,,,,Poop
04/04/2021 02:20,2021-04-04,02:16:00,,Formula (Neopro),45,Gentlease ,
04/04/2021 02:57,2021-04-04,02:45:00,Pee,,,,Poop
04/04/2021 03:09,2021-04-04,03:10:00,,Formula (Neopro),10,Gentlease ,
04/04/2021 06:02,2021-04-04,06:00:00,Pee,Breast (Pumped),55,,
04/04/2021 12:26,2021-04-04,09:00:00,Pee,Breast (Pumped),60,,Poop
04/04/2021 12:27,2021-04-04,12:30:00,Pee,Breast (Pumped),60,,Poop
04/04/2021 16:13,2021-04-04,15:45:00,Pee,Breast (Pumped),60,big poo,Poop
04/04/2021 18:53,2021-04-04,18:00:00,,Formula (Neopro),60,Gentlease,
04/04/2021 21:08,2021-04-04,20:15:00,,Breast (Pumped),60,,
04/04/2021 21:08,2021-04-04,21:10:00,Pee,,,,Poop
05/04/2021 00:30,2021-04-04,23:45:00,Pee,Breast (Pumped),60,,Poop
05/04/2021 02:28,2021-04-05,02:00:00,Pee,Formula (Neopro),60,Gentlease,Poop
05/04/2021 04:55,2021-04-05,04:30:00,,Breast (Pumped),60,,
05/04/2021 09:44,2021-04-05,07:30:00,Pee,Breast (Pumped),60,,Poop
05/04/2021 12:52,2021-04-05,10:30:00,Pee,Breast (Pumped),60,,Poop
05/04/2021 14:06,2021-04-05,13:30:00,,Formula (Neopro),60,Gentlease ,
05/04/2021 17:03,2021-04-05,16:45:00,,Formula (Neopro),60,Gentlease ,
05/04/2021 20:18,2021-04-05,19:30:00,,Formula (Neopro Gentlease),60,,
05/04/2021 23:34,2021-04-05,23:15:00,,Breast (Pumped),60,,
06/04/2021 01:44,2021-04-06,01:35:00,Pee,Breast (Pumped),60,,Poop
06/04/2021 04:46,2021-04-06,04:30:00,,Breast (Pumped),60,,
06/04/2021 08:33,2021-04-06,08:00:00,Pee,Breast (Pumped),60,,
06/04/2021 11:42,2021-04-06,11:30:00,Pee,Breast (Pumped),60,,
06/04/2021 14:16,2021-04-06,14:00:00,,Formula (Neopro Gentlease),60,,
06/04/2021 17:06,2021-04-06,17:00:00,,Breast (Pumped),60,,
06/04/2021 22:28,2021-04-06,22:25:00,,Breast (Pumped),60,,
07/04/2021 01:49,2021-04-07,01:30:00,,Breast (Pumped),60,,Poop
07/04/2021 05:09,2021-04-07,04:30:00,Pee,Breast (Pumped),60,,
07/04/2021 08:40,2021-04-07,08:30:00,Pee,Breast (Pumped),60,,Poop
07/04/2021 12:56,2021-04-07,12:00:00,Pee,Formula (Neopro Gentlease),60,,Poop
07/04/2021 16:39,2021-04-07,14:00:00,Pee,Breast (Pumped),60,,
07/04/2021 16:41,2021-04-07,16:30:00,,Breast (Pumped),60,,
07/04/2021 19:46,2021-04-07,18:30:00,Pee,Breast (Pumped),60,,Poop
07/04/2021 20:56,2021-04-07,20:50:00,Pee,,,,Poop
08/04/2021 00:20,2021-04-07,23:45:00,Pee,Breast (Pumped),60,,
08/04/2021 00:49,2021-04-08,00:40:00,,Formula (Neopro Gentlease),60,,
08/04/2021 03:42,2021-04-08,03:30:00,Pee,Formula (Neopro Gentlease),75,,Poop
08/04/2021 04:39,2021-04-08,04:30:00,,Formula (Neopro Gentlease),15,,
08/04/2021 08:03,2021-04-08,08:00:00,,Formula (Neopro Gentlease),10,,
08/04/2021 11:47,2021-04-08,10:30:00,,Breast (Pumped),60,,
08/04/2021 13:19,2021-04-08,13:00:00,Pee,Breast (Pumped),60,,
08/04/2021 17:33,2021-04-08,15:00:00,Pee,Breast (Pumped),70,,Poop
08/04/2021 17:34,2021-04-08,17:00:00,,Breast (Pumped),70,,
08/04/2021 19:57,2021-04-08,19:30:00,Pee,Breast (Pumped),55,Big poop,Poop
08/04/2021 22:10,2021-04-08,21:15:00,,Breast (Pumped),70,,
08/04/2021 22:26,2021-04-08,22:20:00,Pee,,,,Poop
08/04/2021 23:47,2021-04-08,23:30:00,,Formula (Neopro Gentlease),60,,
09/04/2021 00:30,2021-04-09,00:30:00,,Formula (Neopro Gentlease),30,,
09/04/2021 04:14,2021-04-09,03:30:00,,Formula (Neopro Gentlease),85,,
09/04/2021 04:24,2021-04-09,04:20:00,Pee,,,,
09/04/2021 07:44,2021-04-09,07:30:00,Pee,Breast (Pumped),60,,Poop
09/04/2021 07:56,2021-04-09,07:45:00,,Formula (Neopro Gentlease),30,,
09/04/2021 12:38,2021-04-09,11:30:00,,Formula (Neopro Gentlease),80,,
09/04/2021 14:57,2021-04-09,14:30:00,Pee,Breast (Pumped),50,,Poop
09/04/2021 18:35,2021-04-09,17:30:00,,Breast (Pumped),40,,
09/04/2021 22:12,2021-04-09,20:00:00,,Formula (Neopro Gentlease),25,,
09/04/2021 22:13,2021-04-09,20:30:00,,Breast (Pumped),20,,
09/04/2021 23:59,2021-04-09,22:30:00,Pee,Breast (Pumped),80,,Poop
10/04/2021 00:36,2021-04-10,00:00:00,Pee,Breast (Pumped),30,,Poop
10/04/2021 04:06,2021-04-10,03:30:00,Pee,Formula (Neopro Gentlease),55,,Poop
10/04/2021 09:27,2021-04-10,07:00:00,,Formula (Neopro Gentlease),60,,Poop
10/04/2021 11:48,2021-04-10,11:15:00,Pee,Breast (Pumped),60,,Poop
10/04/2021 13:56,2021-04-10,13:50:00,Pee,Breast  (fed),,Lactation consultation ,Poop
10/04/2021 15:00,2021-04-10,15:00:00,Pee,,,,
10/04/2021 16:08,2021-04-10,16:08:00,Pee,,,,Poop
10/04/2021 19:23,2021-04-10,19:20:00,Pee,Breast  (fed),,,Poop
10/04/2021 22:09,2021-04-10,22:00:00,Pee,Breast (Pumped),70,,
11/04/2021 01:31,2021-04-11,01:30:00,,Breast (Pumped),,,
11/04/2021 02:04,2021-04-11,02:00:00,Pee,Formula (Neopro Gentlease),60,,Poop
11/04/2021 06:08,2021-04-11,05:00:00,,Breast  (fed),,,
11/04/2021 06:08,2021-04-11,05:00:00,Pee,Formula (Neopro Gentlease),60,,Poop
11/04/2021 08:55,2021-04-11,08:30:00,Pee,Formula (Neopro Gentlease),60,,Poop
11/04/2021 13:28,2021-04-11,11:45:00,Pee,Breast (Pumped),50,,Poop
11/04/2021 14:29,2021-04-11,13:30:00,,Breast  (fed),,,
11/04/2021 14:29,2021-04-11,14:00:00,,Breast (Pumped),30,,
11/04/2021 18:01,2021-04-11,15:40:00,,Breast  (fed),,,
11/04/2021 18:01,2021-04-11,17:30:00,Pee,Breast (Pumped),60,,Poop
11/04/2021 21:29,2021-04-11,19:30:00,,Breast  (fed),,,
11/04/2021 21:34,2021-04-11,20:30:00,,Breast (Pumped),30,,
11/04/2021 21:34,2021-04-11,21:15:00,,Formula (Neopro Gentlease),60,,
11/04/2021 22:22,2021-04-11,22:20:00,Pee,,,,
11/04/2021 23:17,2021-04-11,23:15:00,,Breast  (fed),,,
12/04/2021 00:35,2021-04-12,00:00:00,,Formula (Neopro Gentlease),60,,
12/04/2021 03:17,2021-04-12,03:00:00,,Breast (Pumped),70,,
12/04/2021 03:34,2021-04-12,03:30:00,Pee,,,,Poop
12/04/2021 06:01,2021-04-12,05:30:00,Pee,Breast (Pumped),50,,Poop
12/04/2021 09:57,2021-04-12,08:30:00,,Breast (Pumped),50,,
12/04/2021 09:58,2021-04-12,09:30:00,Pee,,,,
12/04/2021 12:02,2021-04-12,11:45:00,,Breast (Pumped),50,,
12/04/2021 13:01,2021-04-12,12:45:00,Pee,Breast (Pumped),30,,Poop
12/04/2021 13:10,2021-04-12,13:10:00,,Breast  (fed),,,
12/04/2021 16:24,2021-04-12,15:30:00,,Breast (Pumped),60,,Poop
12/04/2021 18:22,2021-04-12,17:45:00,Pee,Breast  (fed),60,,Poop
12/04/2021 21:48,2021-04-12,20:15:00,Pee,Breast (Pumped),70,,
12/04/2021 22:31,2021-04-12,22:15:00,,Breast (Pumped),70,,
12/04/2021 22:50,2021-04-12,22:45:00,Pee,,,,Poop
13/04/2021 02:00,2021-04-13,00:45:00,,Breast (Pumped),70,,
13/04/2021 02:05,2021-04-13,01:45:00,,Formula (Neopro Gentlease),30,,
13/04/2021 05:40,2021-04-13,05:10:00,,Breast (Pumped),60,,
13/04/2021 05:41,2021-04-13,05:15:00,,Formula (Neopro Gentlease),30,,
13/04/2021 07:46,2021-04-13,07:30:00,Pee,Breast (Pumped),60,,
13/04/2021 10:52,2021-04-13,10:45:00,Pee,Formula (Neopro Gentlease),60,,Poop
13/04/2021 12:21,2021-04-13,11:45:00,Pee,,,,
13/04/2021 12:53,2021-04-13,12:30:00,,Breast (Pumped),60,,
13/04/2021 15:06,2021-04-13,14:30:00,,Breast (Pumped),90,,
13/04/2021 16:42,2021-04-13,16:30:00,Pee,Breast  (fed),,,Poop
13/04/2021 21:10,2021-04-13,18:00:00,,Breast (Pumped),60,,
13/04/2021 21:10,2021-04-13,20:45:00,,Breast (Pumped),65,,
13/04/2021 23:59,2021-04-13,22:45:00,,Breast (Pumped),60,,
14/04/2021 02:18,2021-04-14,02:00:00,Pee,Formula (Neopro Gentlease),120,,Poop
14/04/2021 06:07,2021-04-13,05:00:00,Pee,Breast (Pumped),40,,Poop
14/04/2021 07:54,2021-04-14,07:00:00,Pee,Formula (Neopro Gentlease),40,,Poop
14/04/2021 08:07,2021-04-14,08:00:00,,Formula (Neopro Gentlease),20,,
14/04/2021 10:28,2021-04-14,09:00:00,,Formula (Neopro Gentlease),30,,
14/04/2021 11:54,2021-04-14,10:30:00,,Breast (Pumped),50,,
14/04/2021 12:06,2021-04-14,11:50:00,,Breast (Pumped),70,,
14/04/2021 15:00,2021-04-14,02:45:00,,Breast (Pumped),120,,
14/04/2021 15:27,2021-04-14,15:15:00,Pee,,,,
14/04/2021 18:32,2021-04-14,18:00:00,Pee,Breast (Pumped),90,,Poop
14/04/2021 21:35,2021-04-14,21:10:00,Pee,Breast (Pumped),90,,Poop
14/04/2021 23:32,2021-04-14,23:15:00,Pee,Breast (Pumped),50,,Poop
14/04/2021 23:54,2021-04-14,23:40:00,,Formula (Neopro Gentlease),20,,
15/04/2021 04:15,2021-04-15,04:00:00,,Breast (Pumped),50,,
15/04/2021 04:26,2021-04-15,04:15:00,Pee,Formula (Neopro Gentlease),60,,Poop
15/04/2021 07:48,2021-04-15,07:30:00,,Breast (Pumped),60,,
15/04/2021 08:09,2021-04-15,08:00:00,Pee,,,,
15/04/2021 10:11,2021-04-15,09:00:00,Pee,Breast (Pumped),60,,
15/04/2021 10:11,2021-04-15,09:00:00,,Formula (Neopro Gentlease),30,,
15/04/2021 10:12,2021-04-15,10:00:00,Pee,,,,
15/04/2021 11:42,2021-04-15,11:30:00,,Breast (Pumped),70,,
15/04/2021 14:30,2021-04-15,13:00:00,,Breast (Pumped),60,,
15/04/2021 14:30,2021-04-15,13:00:00,,Formula (Neopro Gentlease),60,,
15/04/2021 15:23,2021-04-15,15:15:00,Pee,,,,
15/04/2021 18:11,2021-04-15,17:00:00,,Breast (Pumped),40,,
15/04/2021 18:11,2021-04-15,17:00:00,Pee,Formula (Neopro Gentlease),40,,Poop
15/04/2021 18:11,2021-04-15,17:30:00,,Formula (Neopro Gentlease),30,,
15/04/2021 20:40,2021-04-15,20:30:00,Pee,Breast (Pumped),40,,Poop
15/04/2021 20:40,2021-04-15,20:30:00,,Formula (Neopro Gentlease),60,,
15/04/2021 21:42,2021-04-15,21:00:00,,Formula (Neopro Gentlease),30,,
15/04/2021 23:37,2021-04-15,22:45:00,Pee,Breast (Pumped),70,,Poop
15/04/2021 23:38,2021-04-15,23:00:00,,Formula (Neopro Gentlease),50,,
16/04/2021 04:56,2021-04-16,01:00:00,,Breast (Pumped),70,,
16/04/2021 04:56,2021-04-16,04:00:00,Pee,Formula (Neopro Gentlease),120,,
16/04/2021 07:48,2021-04-16,07:30:00,,Breast (Pumped),70,,
16/04/2021 09:30,2021-04-16,09:00:00,,Breast (Pumped),40,,
16/04/2021 12:17,2021-04-16,11:00:00,Pee,Breast (Pumped),70,,
16/04/2021 12:18,2021-04-16,11:15:00,Pee,Formula (Neopro Gentlease),60,,
16/04/2021 12:18,2021-04-16,11:30:00,,Formula (Neopro),40,,
16/04/2021 13:55,2021-04-16,12:00:00,,Formula (Neopro),30,,
16/04/2021 13:56,2021-04-16,13:00:00,,Formula (Neopro),15,,
16/04/2021 14:23,2021-04-16,14:00:00,,Formula (Neopro),30,,
16/04/2021 16:55,2021-04-16,16:30:00,Pee,Breast (Pumped),70,,
16/04/2021 17:58,2021-04-16,04:30:00,Pee,Formula (Neopro),10,,Poop
16/04/2021 17:59,2021-04-16,17:30:00,,Formula (Neopro),30,,
16/04/2021 21:22,2021-04-16,21:00:00,,Breast (Pumped),60,,
16/04/2021 22:30,2021-04-16,21:30:00,,Breast (Pumped),30,,
16/04/2021 22:31,2021-04-16,22:15:00,,Breast (Pumped),30,,
16/04/2021 23:20,2021-04-16,23:15:00,Pee,,,,Poop
16/04/2021 23:46,2021-04-16,23:30:00,,Formula (Neopro Gentlease),30,,
17/04/2021 04:12,2021-04-17,03:30:00,Pee,Formula (Neopro Gentlease),110,,Poop
17/04/2021 07:05,2021-04-17,06:30:00,Pee,Breast (Pumped),60,,
17/04/2021 09:58,2021-04-17,08:30:00,,Breast (Pumped),60,,
17/04/2021 10:50,2021-04-17,10:30:00,Pee,Breast (Pumped),70,,
17/04/2021 11:56,2021-04-17,11:50:00,,Breast (Pumped),30,,
17/04/2021 13:38,2021-04-17,13:00:00,Pee,Breast (Pumped),50,,
17/04/2021 17:10,2021-04-17,15:00:00,Pee,Breast (Pumped),60,,
17/04/2021 18:43,2021-04-17,18:00:00,,Breast (Pumped),80,,
17/04/2021 21:37,2021-04-17,21:00:00,Pee,Breast (Pumped),60,,Poop
18/04/2021 00:07,2021-04-17,23:00:00,,Breast (Pumped),60,,
18/04/2021 00:15,2021-04-18,00:05:00,,Breast (Pumped),20,,
18/04/2021 00:58,2021-04-18,01:00:00,,Formula (Neopro Gentlease),30,,
18/04/2021 05:10,2021-04-18,04:30:00,Pee,Formula (Neopro Gentlease),120,,Poop
18/04/2021 08:14,2021-04-18,07:30:00,Pee,Formula (Neopro Gentlease),45,,
18/04/2021 10:44,2021-04-18,09:30:00,,Breast (Pumped),60,,
18/04/2021 11:28,2021-04-18,11:00:00,,Breast (Pumped),40,,
18/04/2021 14:04,2021-04-18,14:00:00,,Breast (Pumped),80,,
18/04/2021 18:02,2021-04-18,15:00:00,Pee,Breast (Pumped),60,,Poop
18/04/2021 18:02,2021-04-18,17:45:00,,Breast (Pumped),40,,
18/04/2021 19:21,2021-04-18,18:30:00,,Breast (Pumped),60,,
18/04/2021 21:05,2021-04-18,20:30:00,Pee,Breast (Pumped),55,,Poop
18/04/2021 21:42,2021-04-18,21:30:00,Pee,Formula (Neopro Gentlease),30,,Poop
19/04/2021 00:52,2021-04-19,00:15:00,Pee,Breast (Pumped),100,,Poop
19/04/2021 02:51,2021-04-19,02:30:00,Pee,Breast (Pumped),40,,Poop
19/04/2021 03:16,2021-04-19,02:45:00,,Formula (Neopro Gentlease),55,,
19/04/2021 06:42,2021-04-19,06:00:00,,Formula (Neopro Gentlease),100,,
19/04/2021 09:34,2021-04-19,09:30:00,Pee,Breast (Pumped),60,,Poop
19/04/2021 11:35,2021-04-19,11:30:00,,Breast (Pumped),30,,
19/04/2021 12:28,2021-04-19,12:15:00,Pee,Breast (Pumped),20,,Poop
19/04/2021 13:24,2021-04-19,12:45:00,,Breast (Pumped),10,,
19/04/2021 15:04,2021-04-19,15:00:00,Pee,Breast (Pumped),60,,Poop
19/04/2021 16:09,2021-04-19,16:00:00,,Breast (Pumped),30,,
19/04/2021 18:32,2021-04-19,18:15:00,,Breast (Pumped),90,,
19/04/2021 20:27,2021-04-19,20:15:00,,Breast (Pumped),40,,
19/04/2021 21:51,2021-04-19,21:45:00,,Breast (Pumped),60,,
19/04/2021 22:05,2021-04-19,22:00:00,Pee,,,,
19/04/2021 22:31,2021-04-19,22:31:00,Pee,,,,Poop
19/04/2021 23:08,2021-04-19,22:45:00,,Formula (Neopro Gentlease),70,,
19/04/2021 23:54,2021-04-19,23:50:00,Pee,Formula (Neopro Gentlease),20,,Poop
20/04/2021 03:52,2021-04-20,03:30:00,,Breast (Pumped),45,,
20/04/2021 03:52,2021-04-20,03:45:00,Pee,Formula (Neopro Gentlease),60,,Poop
20/04/2021 09:16,2021-04-20,09:00:00,,Formula (Neopro Gentlease),20,,
20/04/2021 10:54,2021-04-20,10:45:00,Pee,Breast (Pumped),30,,
20/04/2021 11:31,2021-04-20,11:30:00,,Breast (Pumped),30,,
20/04/2021 11:41,2021-04-20,11:40:00,,Formula (Neopro Gentlease),20,,
20/04/2021 13:37,2021-04-20,13:30:00,,Breast (Pumped),60,,
20/04/2021 14:55,2021-04-20,15:00:00,,Breast (Pumped),30,,
20/04/2021 16:31,2021-04-20,16:15:00,,Breast (Pumped),45,,
20/04/2021 21:26,2021-04-20,21:00:00,,Formula (Neopro Gentlease),60,,
21/04/2021 03:10,2021-04-21,02:30:00,Pee,Breast (Pumped),60,,Poop
21/04/2021 03:28,2021-04-21,03:00:00,,Formula (Neopro Gentlease),50,,
21/04/2021 03:53,2021-04-21,03:50:00,Pee,,,,
21/04/2021 06:28,2021-04-21,06:00:00,Pee,Breast (Pumped),60,,
21/04/2021 08:32,2021-04-21,08:00:00,,Breast (Pumped),60,,
21/04/2021 10:35,2021-04-21,10:00:00,Pee,Breast (Pumped),60,,Poop
21/04/2021 13:27,2021-04-21,13:00:00,Pee,Formula (Neopro Gentlease),30,,Poop
21/04/2021 14:13,2021-04-21,14:00:00,,Breast (Pumped),40,,
