Timestamp,Date,Time,Pee,Food,Quantity (ml),Notes,Poop
04/04/2021 03:09,04/04/2021,03:10:00,,Formula (Neopro),10,Gentlease ,
04/04/2021 06:02,04/04/2021,06:00:00,Pee,Breast (Pumped),55,,
04/04/2021 12:26,04/04/2021,09:00:00,Pee,Breast (Pumped),60,,Poop
04/04/2021 12:27,04/04/2021,12:30:00,Pee,Breast (Pumped),60,,Poop
04/04/2021 16:13,04/04/2021,15:45:00,Pee,Breast (Pumped),60,big poo,Poop
04/04/2021 18:53,04/04/2021,18:00:00,,Formula (Neopro),60,Gentlease,
04/04/2021 21:08,04/04/2021,20:15:00,,Breast (Pumped),60,,
04/04/2021 21:08,04/04/2021,21:10:00,Pee,,,,Poop
05/04/2021 00:30,04/04/2021,23:45:00,Pee,Breast (Pumped),60,,Poop
05/04/2021 02:28,05/04/2021,02:00:00,Pee,Formula (Neopro),60,Gentlease,Poop
05/04/2021 04:55,05/04/2021,04:30:00,,Breast (Pumped),60,,
05/04/2021 09:44,05/04/2021,07:30:00,Pee,Breast (Pumped),60,,Poop
05/04/2021 12:52,05/04/2021,10:30:00,Pee,Breast (Pumped),60,,Poop
05/04/2021 14:06,05/04/2021,13:30:00,,Formula (Neopro),60,Gentlease ,
05/04/2021 17:03,05/04/2021,16:45:00,,Formula (Neopro),60,Gentlease ,
05/04/2021 20:18,05/04/2021,19:30:00,,Formula (Neopro Gentlease),60,,
05/04/2021 23:34,05/04/2021,23:15:00,,Breast (Pumped),60,,
06/04/2021 01:44,06/04/2021,01:35:00,Pee,Breast (Pumped),60,,Poop
06/04/2021 04:46,06/04/2021,04:30:00,,Breast (Pumped),60,,
06/04/2021 08:33,06/04/2021,08:00:00,Pee,Breast (Pumped),60,,
06/04/2021 11:42,06/04/2021,11:30:00,Pee,Breast (Pumped),60,,
06/04/2021 14:16,06/04/2021,14:00:00,,Formula (Neopro Gentlease),60,,
06/04/2021 17:06,06/04/2021,17:00:00,,Breast (Pumped),60,,
06/04/2021 22:28,06/04/2021,22:25:00,,Breast (Pumped),60,,
07/04/2021 01:49,07/04/2021,01:30:00,,Breast (Pumped),60,,Poop
07/04/2021 05:09,07/05/2021,04:30:00,Pee,Breast (Pumped),60,,
07/04/2021 08:40,07/04/2021,08:30:00,Pee,Breast (Pumped),60,,Poop
07/04/2021 12:56,07/04/2021,12:00:00,Pee,Formula (Neopro Gentlease),60,,Poop
07/04/2021 16:39,07/04/2021,14:00:00,Pee,Breast (Pumped),60,,
07/04/2021 16:41,07/04/2022,16:30:00,,Breast (Pumped),60,,
07/04/2021 19:46,07/04/2021,18:30:00,Pee,Breast (Pumped),60,,Poop
07/04/2021 20:56,07/04/2021,20:50:00,Pee,,,,Poop
08/04/2021 00:20,07/04/2021,23:45:00,Pee,Breast (Pumped),60,,
08/04/2021 00:49,08/04/2021,00:40:00,,Formula (Neopro Gentlease),60,,
08/04/2021 03:42,08/04/2021,03:30:00,Pee,Formula (Neopro Gentlease),75,,Poop
08/04/2021 04:39,08/04/2021,04:30:00,,Formula (Neopro Gentlease),15,,
08/04/2021 08:03,08/04/2021,08:00:00,,Formula (Neopro Gentlease),10,,
08/04/2021 11:47,08/04/2021,10:30:00,,Breast (Pumped),60,,
08/04/2021 13:19,08/04/2021,13:00:00,Pee,Breast (Pumped),60,,
08/04/2021 17:33,08/04/2021,15:00:00,Pee,Breast (Pumped),70,,Poop
08/04/2021 17:34,08/04/2021,17:00:00,,Breast (Pumped),70,,
08/04/2021 19:57,08/04/2021,19:30:00,Pee,Breast (Pumped),55,Big poop,Poop
08/04/2021 22:10,08/04/2021,21:15:00,,Breast (Pumped),70,,
08/04/2021 22:26,08/04/2021,22:20:00,Pee,,,,Poop
08/04/2021 23:47,08/04/2021,23:30:00,,Formula (Neopro Gentlease),60,,
09/04/2021 00:30,09/04/2021,00:30:00,,Formula (Neopro Gentlease),30,,
09/04/2021 04:14,09/04/2021,03:30:00,,Formula (Neopro Gentlease),85,,
09/04/2021 04:24,09/04/2021,04:20:00,Pee,,,,
09/04/2021 07:44,09/04/2021,07:30:00,Pee,Breast (Pumped),60,,Poop
09/04/2021 07:56,09/04/2021,07:45:00,,Formula (Neopro Gentlease),30,,
09/04/2021 12:38,09/04/2021,11:30:00,,Formula (Neopro Gentlease),80,,
09/04/2021 14:57,09/04/2021,14:30:00,Pee,Breast (Pumped),50,,Poop
09/04/2021 18:35,09/04/2021,17:30:00,,Breast (Pumped),40,,
09/04/2021 22:12,09/04/2021,20:00:00,,Formula (Neopro Gentleasse),25,,
09/04/2021 22:13,09/04/2021,20:30:00,,Breast (Pumped),20,,
09/04/2021 23:59,09/04/2021,22:30:00,Pee,Breast (Pumped),80,,Poop
10/04/2021 00:36,10/04/2021,00:00:00,Pee,Breast (Pumped),30,,Poop
10/04/2021 04:06,10/04/2021,03:30:00,Pee,Formula (Neopro Gentlease),55,,Poop
10/04/2021 09:27,10/04/2021,07:00:00,,Formula (Neopro Gentlease),60,,Poop
10/04/2021 11:48,10/04/2021,11:15:00,Pee,Breast (Pumped),60,,Poop
10/04/2021 13:56,10/04/2021,13:50:00,Pee,Breast (fed),,Lactation consultation ,Poop
10/04/2021 15:00,10/04/2021,15:00:00,Pee,,,,
10/04/2021 16:08,10/04/2021,16:08:00,Pee,,,,Poop
10/04/2021 19:23,10/04/2021,19:20:00,Pee,Breast (fed),,,Poop
10/04/2021 22:09,10/04/2021,22:00:00,Pee,Breast (Pumped),70,,
11/04/2021 01:31,11/04/2021,01:30:00,,Breast (Pumped),,,
11/04/2021 02:04,11/04/2021,02:00:00,Pee,Formula (Neopro Gentlease),60,,Poop
11/04/2021 06:08,11/04/2021,05:00:00,,Breast (fed),,,
11/04/2021 06:08,11/04/2021,05:00:00,Pee,Formula (Neopro Gentlease),60,,Poop
11/04/2021 08:55,11/04/2021,08:30:00,Pee,Formula (Neopro Gentlease),60,,Poop
11/04/2021 13:28,11/04/2021,11:45:00,Pee,Breast (Pumped),50,,Poop
11/04/2021 14:29,11/04/2021,13:30:00,,Breast (fed),,,
11/04/2021 14:29,11/04/2021,14:00:00,,Breast (Pumped),30,,
